PayPal Holdings Quarterly Net Income (Millions of US $),PayPal Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,128"
2024-03-31,$888
2023-12-31,"$1,402"
2023-09-30,"$1,020"
2023-06-30,"$1,029"
2023-03-31,$795
2022-12-31,$921
2022-09-30,"$1,330"
2022-06-30,$-341
2022-03-31,$509
2021-12-31,$801
2021-09-30,"$1,087"
2021-06-30,"$1,184"
2021-03-31,"$1,097"
2020-12-31,"$1,567"
2020-09-30,"$1,021"
2020-06-30,"$1,530"
2020-03-31,$84
2019-12-31,$507
2019-09-30,$462
2019-06-30,$823
2019-03-31,$667
2018-12-31,$584
2018-09-30,$436
2018-06-30,$526
2018-03-31,$511
2017-12-31,$620
2017-09-30,$380
2017-06-30,$411
2017-03-31,$384
2016-12-31,$390
2016-09-30,$323
2016-06-30,$323
2016-03-31,$365
2015-12-31,$367
2015-09-30,$301
2015-06-30,$305
2015-03-31,$255
2014-12-31,$286
2014-09-30,$234
2014-06-30,$281
2014-03-31,$-382
2013-12-31,
2012-12-31,
