Mondelez Quarterly Net Income (Millions of US $),Mondelez Quarterly Net Income (Millions of US $).1
2024-06-30,$601
2024-03-31,"$1,412"
2023-12-31,$950
2023-09-30,$984
2023-06-30,$944
2023-03-31,"$2,081"
2022-12-31,$583
2022-09-30,$532
2022-06-30,$747
2022-03-31,$855
2021-12-31,"$1,003"
2021-09-30,"$1,258"
2021-06-30,"$1,078"
2021-03-31,$961
2020-12-31,"$1,156"
2020-09-30,"$1,119"
2020-06-30,$544
2020-03-31,$736
2019-12-31,$786
2019-09-30,"$1,426"
2019-06-30,$803
2019-03-31,$914
2018-12-31,$759
2018-09-30,"$1,194"
2018-06-30,$318
2018-03-31,"$1,046"
2017-12-31,$719
2017-09-30,$981
2017-06-30,$498
2017-03-31,$630
2016-12-31,$69
2016-09-30,$548
2016-06-30,$464
2016-03-31,$554
2015-12-31,$-729
2015-09-30,"$7,266"
2015-06-30,$406
2015-03-31,$324
2014-12-31,$500
2014-09-30,$899
2014-06-30,$622
2014-03-31,$163
2013-12-31,"$1,766"
2013-09-30,"$1,012"
2013-06-30,$601
2013-03-31,$536
2012-12-31,$573
2012-09-30,$652
2012-06-30,"$1,029"
2012-03-31,$813
2011-12-31,$830
2011-09-30,$922
2011-06-30,$976
2011-03-31,$799
2010-12-31,$540
2010-09-30,$754
2010-06-30,$937
2010-03-31,"$1,883"
2009-12-31,$710
2009-09-30,$824
2009-06-30,$827
2009-03-31,$660
