Goodyear Tire & Rubber Quarterly Net Income (Millions of US $),Goodyear Tire & Rubber Quarterly Net Income (Millions of US $).1
2024-06-30,$85
2024-03-31,$-57
2023-12-31,$-291
2023-09-30,$-89
2023-06-30,$-208
2023-03-31,$-101
2022-12-31,$-104
2022-09-30,$44
2022-06-30,$166
2022-03-31,$96
2021-12-31,$553
2021-09-30,$132
2021-06-30,$67
2021-03-31,$12
2020-12-31,$63
2020-09-30,$-2
2020-06-30,$-696
2020-03-31,$-619
2019-12-31,$-392
2019-09-30,$88
2019-06-30,$54
2019-03-31,$-61
2018-12-31,$110
2018-09-30,$351
2018-06-30,$157
2018-03-31,$75
2017-12-31,$-96
2017-09-30,$129
2017-06-30,$147
2017-03-31,$166
2016-12-31,$561
2016-09-30,$317
2016-06-30,$202
2016-03-31,$184
2015-12-31,$-380
2015-09-30,$271
2015-06-30,$192
2015-03-31,$224
2014-12-31,"$2,129"
2014-09-30,$161
2014-06-30,$213
2014-03-31,$-58
2013-12-31,$227
2013-09-30,$166
2013-06-30,$181
2013-03-31,$26
2012-12-31,$-1
2012-09-30,$110
2012-06-30,$85
2012-03-31,$-11
2011-12-31,$17
2011-09-30,$161
2011-06-30,$40
2011-03-31,$103
2010-12-31,$-177
2010-09-30,$-20
2010-06-30,$28
2010-03-31,$-47
2009-12-31,$107
2009-09-30,$72
2009-06-30,$-221
2009-03-31,$-333
