Lennar Quarterly Net Income (Millions of US $),Lennar Quarterly Net Income (Millions of US $).1
2024-05-31,$944
2024-02-29,$712
2023-11-30,"$1,346"
2023-08-31,"$1,096"
2023-05-31,$858
2023-02-28,$590
2022-11-30,"$1,309"
2022-08-31,"$1,452"
2022-05-31,"$1,303"
2022-02-28,$498
2021-11-30,"$1,178"
2021-08-31,"$1,390"
2021-05-31,$820
2021-02-28,$989
2020-11-30,$873
2020-08-31,$659
2020-05-31,$511
2020-02-29,$394
2019-11-30,$668
2019-08-31,$509
2019-05-31,$418
2019-02-28,$238
2018-11-30,$789
2018-08-31,$449
2018-05-31,$308
2018-02-28,$135
2017-11-30,$307
2017-08-31,$247
2017-05-31,$212
2017-02-28,$38
2016-11-30,$310
2016-08-31,$234
2016-05-31,$216
2016-02-29,$143
2015-11-30,$279
2015-08-31,$221
2015-05-31,$181
2015-02-28,$114
2014-11-30,$242
2014-08-31,$176
2014-05-31,$136
2014-02-28,$77
2013-11-30,$162
2013-08-31,$119
2013-05-31,$136
2013-02-28,$57
2012-11-30,$122
2012-08-31,$86
2012-05-31,$446
2012-02-29,$15
2011-11-30,$30
2011-08-31,$20
2011-05-31,$14
2011-02-28,$27
2010-11-30,$31
2010-08-31,$30
2010-05-31,$40
2010-02-28,$-7
2009-11-30,$36
2009-08-31,$-172
2009-05-31,$-125
2009-02-28,$-156
