JOYY Quarterly Net Income (Millions of US $),JOYY Quarterly Net Income (Millions of US $).1
2024-06-30,$52
2024-03-31,$45
2023-12-31,$45
2023-09-30,$124
2023-06-30,$153
2023-03-31,$25
2022-12-31,$-380
2022-09-30,$513
2022-06-30,$16
2022-03-31,$-30
2021-12-31,$71
2021-09-30,$5
2021-06-30,$-112
2021-03-31,$-54
2020-12-31,$5
2020-09-30,$330
2020-06-30,$985
2020-03-31,$53
2019-12-31,$6
2019-09-30,$13
2019-06-30,$4
2019-03-31,$463
2018-12-31,$94
2018-09-30,$95
2018-06-30,$-21
2018-03-31,$71
2017-12-31,$124
2017-09-30,$96
2017-06-30,$85
2017-03-31,$79
2016-12-31,$76
2016-09-30,$60
2016-06-30,$52
2016-03-31,$32
2015-12-31,$55
2015-09-30,$25
2015-06-30,$47
2015-03-31,$37
2014-12-31,$60
2014-09-30,$47
2014-06-30,$36
2014-03-31,$30
2013-12-31,$32
2013-09-30,$21
2013-06-30,$15
2013-03-31,$10
2012-12-31,$5
2012-09-30,$6
2012-06-30,$3
2012-03-31,$1
2011-12-31,$1
