Enterprise Products Partners Quarterly Net Income (Millions of US $),Enterprise Products Partners Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,392"
2024-03-31,"$1,456"
2023-12-31,"$1,591"
2023-09-30,"$1,306"
2023-06-30,"$1,242"
2023-03-31,"$1,390"
2022-12-31,"$1,443"
2022-09-30,"$1,349"
2022-06-30,"$1,399"
2022-03-31,"$1,296"
2021-12-31,"$1,048"
2021-09-30,"$1,144"
2021-06-30,"$1,112"
2021-03-31,"$1,330"
2020-12-31,$348
2020-09-30,"$1,053"
2020-06-30,"$1,035"
2020-03-31,"$1,340"
2019-12-31,"$1,077"
2019-09-30,"$1,019"
2019-06-30,"$1,215"
2019-03-31,"$1,253"
2018-12-31,"$1,274"
2018-09-30,"$1,307"
2018-06-30,$674
2018-03-31,$896
2017-12-31,$762
2017-09-30,$611
2017-06-30,$654
2017-03-31,$757
2016-12-31,$662
2016-09-30,$631
2016-06-30,$559
2016-03-31,$661
2015-12-31,$687
2015-09-30,$649
2015-06-30,$551
2015-03-31,$634
2014-12-31,$660
2014-09-30,$691
2014-06-30,$638
2014-03-31,$799
2013-12-31,$699
2013-09-30,$592
2013-06-30,$553
2013-03-31,$754
2012-12-31,$616
2012-09-30,$587
2012-06-30,$566
2012-03-31,$651
2011-12-31,$721
2011-09-30,$471
2011-06-30,$434
2011-03-31,$421
2010-12-31,$160
2010-09-30,$37
2010-06-30,$54
2010-03-31,$70
2009-12-31,$-421
2009-09-30,$213
2009-06-30,$187
2009-03-31,$225
