Grand Canyon Education Quarterly Net Income (Millions of US $),Grand Canyon Education Quarterly Net Income (Millions of US $).1
2024-06-30,$35
2024-03-31,$68
2023-12-31,$81
2023-09-30,$36
2023-06-30,$29
2023-03-31,$60
2022-12-31,$71
2022-09-30,$30
2022-06-30,$26
2022-03-31,$58
2021-12-31,$85
2021-09-30,$48
2021-06-30,$49
2021-03-31,$78
2020-12-31,$87
2020-09-30,$52
2020-06-30,$47
2020-03-31,$71
2019-12-31,$77
2019-09-30,$58
2019-06-30,$51
2019-03-31,$73
2018-12-31,$76
2018-09-30,$34
2018-06-30,$46
2018-03-31,$74
2017-12-31,$68
2017-09-30,$39
2017-06-30,$40
2017-03-31,$56
2016-12-31,$48
2016-09-30,$29
2016-06-30,$28
2016-03-31,$44
2015-12-31,$38
2015-09-30,$33
2015-06-30,$26
2015-03-31,$34
2014-12-31,$33
2014-09-30,$29
2014-06-30,$23
2014-03-31,$26
2013-12-31,$26
2013-09-30,$23
2013-06-30,$19
2013-03-31,$21
2012-12-31,$21
2012-09-30,$18
2012-06-30,$16
2012-03-31,$14
2011-12-31,$15
2011-09-30,$13
2011-06-30,$13
2011-03-31,$9
2010-12-31,$1
2010-09-30,$11
2010-06-30,$12
2010-03-31,$11
2009-12-31,$11
2009-09-30,$3
2009-06-30,$8
2009-03-31,$5
