Vistra Quarterly Net Income (Millions of US $),Vistra Quarterly Net Income (Millions of US $).1
2024-06-30,$318
2024-03-31,$-84
2023-12-31,$-222
2023-09-30,$465
2023-06-30,$439
2023-03-31,$661
2022-12-31,$-283
2022-09-30,$631
2022-06-30,"$-1,402"
2022-03-31,$-323
2021-12-31,$705
2021-09-30,$7
2021-06-30,$36
2021-03-31,"$-2,043"
2020-12-31,$-29
2020-09-30,$443
2020-06-30,$166
2020-03-31,$56
2019-12-31,$234
2019-09-30,$113
2019-06-30,$356
2019-03-31,$225
2018-12-31,$-186
2018-09-30,$330
2018-06-30,$108
2018-03-31,$-306
2017-12-31,$-579
2017-09-30,$273
2017-06-30,$-26
2017-03-31,$78
2016-12-31,"$23,343"
2016-09-30,$187
2016-06-30,$-499
2016-03-31,$-343
2015-12-31,
2014-12-31,
