Patterson-UTI Energy Quarterly Net Income (Millions of US $),Patterson-UTI Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$11
2024-03-31,$51
2023-12-31,$62
2023-09-30,$0
2023-06-30,$85
2023-03-31,$100
2022-12-31,$100
2022-09-30,$61
2022-06-30,$22
2022-03-31,$-29
2021-12-31,$-362
2021-09-30,$-83
2021-06-30,$-103
2021-03-31,$-106
2020-12-31,$-107
2020-09-30,$-112
2020-06-30,$-150
2020-03-31,$-435
2019-12-31,$-86
2019-09-30,$-262
2019-06-30,$-49
2019-03-31,$-29
2018-12-31,$-201
2018-09-30,$-75
2018-06-30,$-11
2018-03-31,$-34
2017-12-31,$195
2017-09-30,$-34
2017-06-30,$-92
2017-03-31,$-64
2016-12-31,$-80
2016-09-30,$-84
2016-06-30,$-85
2016-03-31,$-70
2015-12-31,$-59
2015-09-30,$-226
2015-06-30,$-19
2015-03-31,$9
2014-12-31,$57
2014-09-30,$16
2014-06-30,$54
2014-03-31,$34
2013-12-31,$16
2013-09-30,$74
2013-06-30,$40
2013-03-31,$56
2012-12-31,$58
2012-09-30,$50
2012-06-30,$92
2012-03-31,$97
2011-12-31,$88
2011-09-30,$82
2011-06-30,$82
2011-03-31,$71
2010-12-31,$54
2010-09-30,$29
2010-06-30,$30
2010-03-31,$4
2009-12-31,$-18
2009-09-30,$-19
2009-06-30,$-18
2009-03-31,$16
