Sandy Spring Bancorp Quarterly Net Income (Millions of US $),Sandy Spring Bancorp Quarterly Net Income (Millions of US $).1
2024-06-30,$23
2024-03-31,$20
2023-12-31,$26
2023-09-30,$21
2023-06-30,$25
2023-03-31,$51
2022-12-31,$34
2022-09-30,$33
2022-06-30,$55
2022-03-31,$44
2021-12-31,$45
2021-09-30,$57
2021-06-30,$57
2021-03-31,$75
2020-12-31,$56
2020-09-30,$44
2020-06-30,$-14
2020-03-31,$10
2019-12-31,$28
2019-09-30,$29
2019-06-30,$28
2019-03-31,$30
2018-12-31,$25
2018-09-30,$29
2018-06-30,$24
2018-03-31,$22
2017-12-31,$8
2017-09-30,$15
2017-06-30,$15
2017-03-31,$15
2016-12-31,$13
2016-09-30,$13
2016-06-30,$11
2016-03-31,$11
2015-12-31,$13
2015-09-30,$11
2015-06-30,$10
2015-03-31,$11
2014-12-31,$9
2014-09-30,$11
2014-06-30,$7
2014-03-31,$11
2013-12-31,$10
2013-09-30,$12
2013-06-30,$12
2013-03-31,$11
2012-12-31,$10
2012-09-30,$11
2012-06-30,$7
2012-03-31,$8
2011-12-31,$7
2011-09-30,$11
2011-06-30,$8
2011-03-31,$7
2010-12-31,$7
2010-09-30,$6
2010-06-30,$5
2010-03-31,$-1
2009-12-31,$-4
2009-09-30,$-15
2009-06-30,$-1
2009-03-31,$1
