Pinnacle Financial Partners Quarterly Net Income (Millions of US $),Pinnacle Financial Partners Quarterly Net Income (Millions of US $).1
2024-09-30,$143
2024-06-30,$49
2024-03-31,$120
2023-12-31,$91
2023-09-30,$129
2023-06-30,$194
2023-03-31,$133
2022-12-31,$134
2022-09-30,$145
2022-06-30,$141
2022-03-31,$125
2021-12-31,$130
2021-09-30,$133
2021-06-30,$128
2021-03-31,$122
2020-12-31,$107
2020-09-30,$107
2020-06-30,$62
2020-03-31,$28
2019-12-31,$96
2019-09-30,$111
2019-06-30,$100
2019-03-31,$94
2018-12-31,$95
2018-09-30,$94
2018-06-30,$87
2018-03-31,$84
2017-12-31,$27
2017-09-30,$64
2017-06-30,$43
2017-03-31,$40
2016-12-31,$36
2016-09-30,$32
2016-06-30,$31
2016-03-31,$28
2015-12-31,$27
2015-09-30,$24
2015-06-30,$23
2015-03-31,$22
2014-12-31,$19
2014-09-30,$18
2014-06-30,$17
2014-03-31,$16
2013-12-31,$15
2013-09-30,$15
2013-06-30,$14
2013-03-31,$13
2012-12-31,$12
2012-09-30,$11
2012-06-30,$8
2012-03-31,$7
2011-12-31,$6
2011-09-30,$25
2011-06-30,$5
2011-03-31,$2
2010-12-31,$2
2010-09-30,$1
2010-06-30,$-28
2010-03-31,$-5
2009-12-31,$-4
2009-09-30,$-5
2009-06-30,$-33
2009-03-31,$1
