Nice Quarterly Net Income (Millions of US $),Nice Quarterly Net Income (Millions of US $).1
2024-06-30,$116
2024-03-31,$106
2023-12-31,$82
2023-09-30,$92
2023-06-30,$87
2023-03-31,$77
2022-12-31,$71
2022-09-30,$71
2022-06-30,$66
2022-03-31,$58
2021-12-31,$51
2021-09-30,$51
2021-06-30,$45
2021-03-31,$52
2020-12-31,$55
2020-09-30,$51
2020-06-30,$45
2020-03-31,$46
2019-12-31,$62
2019-09-30,$45
2019-06-30,$42
2019-03-31,$37
2018-12-31,$62
2018-09-30,$39
2018-06-30,$34
2018-03-31,$24
2017-12-31,$79
2017-09-30,$26
2017-06-30,$20
2017-03-31,$17
2016-12-31,$26
2016-09-30,$30
2016-06-30,$25
2016-03-31,$35
2015-12-31,$57
2015-09-30,$143
2015-06-30,$29
2015-03-31,$29
2014-12-31,$50
2014-09-30,$27
2014-06-30,$10
2014-03-31,$16
2013-12-31,$24
2013-09-30,$-4
2013-06-30,$17
2013-03-31,$18
2012-12-31,$32
2012-09-30,$17
2012-06-30,$11
2012-03-31,$8
2011-12-31,$15
2011-09-30,$18
2011-06-30,$16
2011-03-31,$8
2010-12-31,$17
2010-09-30,$13
2010-06-30,$13
2010-03-31,$6
2009-12-31,$13
2009-09-30,$8
2009-06-30,$12
2009-03-31,$11
