New Gold Quarterly Net Income (Millions of US $),New Gold Quarterly Net Income (Millions of US $).1
2024-06-30,$53
2024-03-31,$-44
2023-12-31,$-27
2023-09-30,$-3
2023-06-30,$-3
2023-03-31,$-32
2022-12-31,$-17
2022-09-30,$-4
2022-06-30,$-38
2022-03-31,$-8
2021-12-31,$153
2021-09-30,$-11
2021-06-30,$-16
2021-03-31,$15
2020-12-31,$-21
2020-09-30,$16
2020-06-30,$-46
2020-03-31,$-28
2019-12-31,$0
2019-09-30,$-25
2019-06-30,$-36
2019-03-31,$-13
2018-12-31,$-743
2018-09-30,$-166
2018-06-30,$-302
2018-03-31,$-30
2017-12-31,$-196
2017-09-30,$27
2017-06-30,$23
2017-03-31,$38
2016-12-31,$-23
2016-09-30,$4
2016-06-30,$-14
2016-03-31,$26
2015-12-31,$-10
2015-09-30,$-158
2015-06-30,$9
2015-03-31,$-44
2014-12-31,$-432
2014-09-30,$-60
2014-06-30,$16
2014-03-31,$-2
2013-12-31,$-255
2013-09-30,$12
2013-06-30,$15
2013-03-31,$36
2012-12-31,$124
2012-09-30,$18
2012-06-30,$24
2012-03-31,$34
2011-12-31,$35
2011-09-30,$41
2011-06-30,$79
2011-03-31,$25
2010-12-31,$73
2010-09-30,$27
2010-06-30,$59
2010-03-31,$17
2009-12-31,$-8
2009-09-30,$4
2009-06-30,$-203
2009-03-31,$12
