Trupanion Quarterly Net Income (Millions of US $),Trupanion Quarterly Net Income (Millions of US $).1
2024-06-30,$-6
2024-03-31,$-7
2023-12-31,$-2
2023-09-30,$-4
2023-06-30,$-14
2023-03-31,$-25
2022-12-31,$-9
2022-09-30,$-13
2022-06-30,$-14
2022-03-31,$-9
2021-12-31,$-7
2021-09-30,$-7
2021-06-30,$-9
2021-03-31,$-12
2020-12-31,$-4
2020-09-30,$-3
2020-06-30,$1
2020-03-31,$-1
2019-12-31,$1
2019-09-30,$1
2019-06-30,$-2
2019-03-31,$-1
2018-12-31,$-0
2018-09-30,$1
2018-06-30,$-0
2018-03-31,$-1
2017-12-31,$-1
2017-09-30,$0
2017-06-30,$0
2017-03-31,$-1
2016-12-31,$-2
2016-09-30,$-2
2016-06-30,$-1
2016-03-31,$-3
2015-12-31,$-3
2015-09-30,$-5
2015-06-30,$-5
2015-03-31,$-5
2014-12-31,$-4
2014-09-30,$-9
2014-06-30,$-3
2014-03-31,$-5
2013-12-31,$-3
2013-09-30,$-1
2013-06-30,$-2
2013-03-31,$-2
2012-12-31,
2011-12-31,
