FactSet Research Systems Quarterly Net Income (Millions of US $),FactSet Research Systems Quarterly Net Income (Millions of US $).1
2024-05-31,$158
2024-02-29,$141
2023-11-30,$149
2023-08-31,$65
2023-05-31,$135
2023-02-28,$132
2022-11-30,$137
2022-08-31,$104
2022-05-31,$75
2022-02-28,$110
2021-11-30,$108
2021-08-31,$101
2021-05-31,$101
2021-02-28,$97
2020-11-30,$101
2020-08-31,$89
2020-05-31,$101
2020-02-29,$89
2019-11-30,$94
2019-08-31,$92
2019-05-31,$92
2019-02-28,$85
2018-11-30,$84
2018-08-31,$69
2018-05-31,$75
2018-02-28,$53
2017-11-30,$70
2017-08-31,$60
2017-05-31,$65
2017-02-28,$67
2016-11-30,$67
2016-08-31,$144
2016-05-31,$67
2016-02-29,$68
2015-11-30,$60
2015-08-31,$62
2015-05-31,$61
2015-02-28,$62
2014-11-30,$56
2014-08-31,$55
2014-05-31,$52
2014-02-28,$52
2013-11-30,$52
2013-08-31,$51
2013-05-31,$53
2013-02-28,$45
2012-11-30,$50
2012-08-31,$49
2012-05-31,$48
2012-02-29,$47
2011-11-30,$46
2011-08-31,$41
2011-05-31,$43
2011-02-28,$45
2010-11-30,$42
2010-08-31,$39
2010-05-31,$39
2010-02-28,$36
2009-11-30,$36
2009-08-31,$36
2009-05-31,$39
2009-02-28,$35
