Banco Santander Chile Quarterly Net Income (Millions of US $),Banco Santander Chile Quarterly Net Income (Millions of US $).1
2024-06-30,$239
2024-03-31,$132
2023-12-31,$299
2023-09-30,$68
2023-06-30,$165
2023-03-31,$163
2022-12-31,$42
2022-09-30,$204
2022-06-30,$343
2022-03-31,$283
2021-09-30,$252
2021-03-31,$254
2020-12-31,$130
2020-09-30,$134
2020-06-30,$275
2020-03-31,$173
2019-12-31,$236
2019-09-30,$190
2019-06-30,$252
2019-03-31,$188
2018-12-31,$262
2018-09-30,$198
2018-06-30,$236
2018-03-31,$257
2017-12-31,$-28
2017-09-30,$220
2017-06-30,$439
2017-03-31,$214
2016-12-31,$85
2016-09-30,$183
2016-06-30,$175
2016-03-31,$176
2015-12-31,$118
2015-09-30,$186
2015-06-30,$220
2015-03-31,$153
2014-12-31,$28
2014-09-30,$688
2014-06-30,$289
2014-03-31,$258
2013-12-31,$332
2013-09-30,$200
2013-06-30,$169
2013-03-31,$171
2012-12-31,$237
2012-09-30,$107
2012-06-30,$211
2012-03-31,$244
2011-12-31,$196
2011-09-30,$145
2011-06-30,$302
2011-03-31,$241
2010-12-31,$201
2010-09-30,$259
2010-06-30,$254
2010-03-31,$227
2009-12-31,$271
2009-09-30,$209
2009-06-30,$200
2009-03-31,$131
