Iridium Communications Inc Quarterly Net Income (Millions of US $),Iridium Communications Inc Quarterly Net Income (Millions of US $).1
2024-09-30,$24
2024-06-30,$32
2024-03-31,$20
2023-12-31,$38
2023-09-30,$-2
2023-06-30,$-31
2023-03-31,$10
2022-12-31,$-1
2022-09-30,$2
2022-06-30,$5
2022-03-31,$3
2021-12-31,$-6
2021-09-30,$-2
2021-06-30,$4
2021-03-31,$-5
2020-12-31,$-8
2020-09-30,$-4
2020-06-30,$-12
2020-03-31,$-32
2019-12-31,$-108
2019-09-30,$-18
2019-06-30,$-20
2019-03-31,$-20
2018-12-31,$-10
2018-09-30,$-15
2018-06-30,$-7
2018-03-31,$8
2017-12-31,$138
2017-09-30,$25
2017-06-30,$21
2017-03-31,$34
2016-12-31,$20
2016-09-30,$28
2016-06-30,$23
2016-03-31,$25
2015-12-31,$-73
2015-09-30,$26
2015-06-30,$22
2015-03-31,$17
2014-12-31,$19
2014-09-30,$17
2014-06-30,$12
2014-03-31,$15
2013-12-31,$14
2013-09-30,$15
2013-06-30,$14
2013-03-31,$13
2012-12-31,$15
2012-09-30,$18
2012-06-30,$18
2012-03-31,$12
2011-12-31,$9
2011-09-30,$12
2011-06-30,$12
2011-03-31,$8
2010-12-31,$7
2010-09-30,$11
2010-06-30,$3
2010-03-31,$-1
2009-12-31,$-3
2009-09-30,$-39
2009-06-30,$-0
2009-03-31,$0
