Southwest Gas Quarterly Net Income (Millions of US $),Southwest Gas Quarterly Net Income (Millions of US $).1
2024-06-30,$18
2024-03-31,$88
2023-12-31,$73
2023-09-30,$3
2023-06-30,$29
2023-03-31,$46
2022-12-31,$-281
2022-09-30,$-12
2022-06-30,$-7
2022-03-31,$96
2021-12-31,$70
2021-09-30,$-12
2021-06-30,$25
2021-03-31,$117
2020-12-31,$104
2020-09-30,$18
2020-06-30,$38
2020-03-31,$73
2019-12-31,$92
2019-09-30,$5
2019-06-30,$22
2019-03-31,$95
2018-12-31,$69
2018-09-30,$12
2018-06-30,$22
2018-03-31,$79
2017-12-31,$96
2017-09-30,$10
2017-06-30,$18
2017-03-31,$69
2016-12-31,$65
2016-09-30,$2
2016-06-30,$9
2016-03-31,$75
2015-12-31,$66
2015-09-30,$-5
2015-06-30,$5
2015-03-31,$72
2014-12-31,$59
2014-09-30,$2
2014-06-30,$10
2014-03-31,$71
2013-12-31,$57
2013-09-30,$-3
2013-06-30,$10
2013-03-31,$81
2012-12-31,$62
2012-09-30,$-4
2012-06-30,$-4
2012-03-31,$79
2011-12-31,$55
2011-09-30,$-16
2011-06-30,$4
2011-03-31,$69
2010-12-31,$45
2010-09-30,$-5
2010-06-30,$-1
2010-03-31,$65
2009-12-31,$46
2009-09-30,$-8
2009-06-30,$-1
2009-03-31,$50
