Strategic Education Quarterly Net Income (Millions of US $),Strategic Education Quarterly Net Income (Millions of US $).1
2024-06-30,$30
2024-03-31,$30
2023-12-31,$39
2023-09-30,$18
2023-06-30,$14
2023-03-31,$-2
2022-12-31,$18
2022-09-30,$6
2022-06-30,$15
2022-03-31,$7
2021-12-31,$22
2021-09-30,$4
2021-06-30,$20
2021-03-31,$10
2020-12-31,$6
2020-09-30,$11
2020-06-30,$34
2020-03-31,$35
2019-12-31,$29
2019-09-30,$17
2019-06-30,$24
2019-03-31,$12
2018-12-31,$22
2018-09-30,$-53
2018-06-30,$5
2018-03-31,$9
2017-12-31,$-6
2017-09-30,$6
2017-06-30,$10
2017-03-31,$11
2016-12-31,$12
2016-09-30,$3
2016-06-30,$8
2016-03-31,$12
2015-12-31,$13
2015-09-30,$4
2015-06-30,$12
2015-03-31,$11
2014-12-31,$13
2014-09-30,$5
2014-06-30,$14
2014-03-31,$15
2013-12-31,$-19
2013-09-30,$3
2013-06-30,$15
2013-03-31,$17
2012-12-31,$17
2012-09-30,$4
2012-06-30,$21
2012-03-31,$24
2011-12-31,$27
2011-09-30,$14
2011-06-30,$30
2011-03-31,$36
2010-12-31,$36
2010-09-30,$23
2010-06-30,$36
2010-03-31,$36
2009-12-31,$32
2009-09-30,$17
2009-06-30,$28
2009-03-31,$29
