Inter Parfums Quarterly Net Income (Millions of US $),Inter Parfums Quarterly Net Income (Millions of US $).1
2024-06-30,$37
2024-03-31,$41
2023-12-31,$10
2023-09-30,$53
2023-06-30,$35
2023-03-31,$54
2022-12-31,$17
2022-09-30,$41
2022-06-30,$28
2022-03-31,$35
2021-12-31,$-1
2021-09-30,$38
2021-06-30,$23
2021-03-31,$28
2020-12-31,$15
2020-09-30,$17
2020-06-30,$-3
2020-03-31,$10
2019-12-31,$8
2019-09-30,$21
2019-06-30,$12
2019-03-31,$19
2018-12-31,$8
2018-09-30,$19
2018-06-30,$11
2018-03-31,$16
2017-12-31,$4
2017-09-30,$17
2017-06-30,$7
2017-03-31,$13
2016-12-31,$4
2016-09-30,$16
2016-06-30,$6
2016-03-31,$7
2015-12-31,$2
2015-09-30,$14
2015-06-30,$4
2015-03-31,$10
2014-12-31,$3
2014-09-30,$11
2014-06-30,$6
2014-03-31,$9
2013-12-31,$-4
2013-09-30,$8
2013-06-30,$4
2013-03-31,$32
2012-12-31,$100
2012-09-30,$10
2012-06-30,$6
2012-03-31,$15
2011-12-31,$4
2011-09-30,$10
2011-06-30,$5
2011-03-31,$13
2010-12-31,$6
2010-09-30,$8
2010-06-30,$5
2010-03-31,$7
2009-12-31,$5
2009-09-30,$7
2009-06-30,$4
2009-03-31,$5
