Buckle Quarterly Net Income (Millions of US $),Buckle Quarterly Net Income (Millions of US $).1
2024-07-31,$39
2024-04-30,$35
2024-01-31,$80
2023-10-31,$52
2023-07-31,$46
2023-04-30,$43
2023-01-31,$88
2022-10-31,$61
2022-07-31,$50
2022-04-30,$55
2022-01-31,$84
2021-10-31,$62
2021-07-31,$51
2021-04-30,$57
2021-01-31,$66
2020-10-31,$42
2020-07-31,$35
2020-04-30,$-12
2020-01-31,$47
2019-10-31,$26
2019-07-31,$16
2019-04-30,$15
2019-01-31,$41
2018-10-31,$20
2018-07-31,$16
2018-04-30,$18
2018-01-31,$42
2017-10-31,$20
2017-07-31,$11
2017-04-30,$16
2017-01-31,$36
2016-10-31,$23
2016-07-31,$15
2016-04-30,$23
2016-01-31,$54
2015-10-31,$36
2015-07-31,$23
2015-04-30,$34
2015-01-31,$60
2014-10-31,$41
2014-07-31,$24
2014-04-30,$37
2014-01-31,$59
2013-10-31,$41
2013-07-31,$25
2013-04-30,$38
2013-01-31,$61
2012-10-31,$42
2012-07-31,$23
2012-04-30,$38
2012-01-31,$56
2011-10-31,$38
2011-07-31,$24
2011-04-30,$33
2011-01-31,$49
2010-10-31,$34
2010-07-31,$21
2010-04-30,$30
2010-01-31,$42
2009-10-31,$33
2009-07-31,$25
2009-04-30,$27
2009-01-31,$34
