Silicon Motion Technology Quarterly Net Income (Millions of US $),Silicon Motion Technology Quarterly Net Income (Millions of US $).1
2024-06-30,$31
2024-03-31,$16
2023-12-31,$21
2023-09-30,$11
2023-06-30,$11
2023-03-31,$10
2022-12-31,$24
2022-09-30,$43
2022-06-30,$52
2022-03-31,$55
2021-12-31,$61
2021-09-30,$55
2021-06-30,$50
2021-03-31,$34
2020-12-31,$1
2020-09-30,$24
2020-06-30,$28
2020-03-31,$26
2019-12-31,$25
2019-09-30,$4
2019-06-30,$26
2019-03-31,$8
2018-12-31,$15
2018-09-30,$29
2018-06-30,$31
2018-03-31,$23
2017-12-31,$10
2017-09-30,$18
2017-06-30,$24
2017-03-31,$24
2016-12-31,$26
2016-09-30,$33
2016-06-30,$29
2016-03-31,$23
2015-12-31,$13
2015-09-30,$13
2015-06-30,$18
2015-03-31,$15
2014-12-31,$12
2014-09-30,$14
2014-06-30,$14
2014-03-31,$4
2013-12-31,$5
2013-09-30,$10
2013-06-30,$8
2013-03-31,$5
2012-12-31,$8
2012-09-30,$16
2012-06-30,$11
2012-03-31,$13
2011-12-31,$12
2011-09-30,$18
2011-06-30,$5
2011-03-31,$6
2010-12-31,$-5
2010-09-30,$0
2010-06-30,$2
2010-03-31,$-2
2009-12-31,$-17
2009-09-30,$-5
2009-06-30,$-6
2009-03-31,$-1
