Forward Air Quarterly Net Income (Millions of US $),Forward Air Quarterly Net Income (Millions of US $).1
2024-06-30,$-645
2024-03-31,$-74
2023-12-31,$102
2023-09-30,$9
2023-06-30,$20
2023-03-31,$36
2022-12-31,$44
2022-09-30,$52
2022-06-30,$55
2022-03-31,$42
2021-12-31,$41
2021-09-30,$24
2021-06-30,$30
2021-03-31,$11
2020-12-31,$-4
2020-09-30,$17
2020-06-30,$3
2020-03-31,$8
2019-12-31,$24
2019-09-30,$22
2019-06-30,$22
2019-03-31,$18
2018-12-31,$28
2018-09-30,$22
2018-06-30,$24
2018-03-31,$18
2017-12-31,$34
2017-09-30,$18
2017-06-30,$20
2017-03-31,$15
2016-12-31,$12
2016-09-30,$12
2016-06-30,$-10
2016-03-31,$13
2015-12-31,$23
2015-09-30,$16
2015-06-30,$12
2015-03-31,$5
2014-12-31,$17
2014-09-30,$17
2014-06-30,$17
2014-03-31,$10
2013-12-31,$16
2013-09-30,$14
2013-06-30,$14
2013-03-31,$11
2012-12-31,$16
2012-09-30,$12
2012-06-30,$14
2012-03-31,$10
2011-12-31,$14
2011-09-30,$13
2011-06-30,$12
2011-03-31,$8
2010-12-31,$12
2010-09-30,$9
2010-06-30,$8
2010-03-31,$3
2009-12-31,$6
2009-09-30,$4
2009-06-30,$3
2009-03-31,$-3
