Black Stone Minerals Quarterly Net Income (Millions of US $),Black Stone Minerals Quarterly Net Income (Millions of US $).1
2024-06-30,$61
2024-03-31,$57
2023-12-31,$142
2023-09-30,$57
2023-06-30,$73
2023-03-31,$129
2022-12-31,$178
2022-09-30,$163
2022-06-30,$127
2022-03-31,$-12
2021-12-31,$129
2021-09-30,$11
2021-06-30,$10
2021-03-31,$11
2020-12-31,$25
2020-09-30,$18
2020-06-30,$-14
2020-03-31,$71
2019-12-31,$35
2019-09-30,$65
2019-06-30,$90
2019-03-31,$4
2018-12-31,$159
2018-09-30,$56
2018-06-30,$23
2018-03-31,$37
2017-12-31,$17
2017-09-30,$21
2017-06-30,$54
2017-03-31,$60
2016-12-31,$-9
2016-09-30,$36
2016-06-30,$-22
2016-03-31,$9
2015-12-31,$-51
2015-09-30,$51
2015-06-30,$-108
2015-03-31,
2014-12-31,$-21
2014-09-30,
2014-06-30,
2014-03-31,$66
2013-12-31,
