Gentex Quarterly Net Income (Millions of US $),Gentex Quarterly Net Income (Millions of US $).1
2024-06-30,$85
2024-03-31,$107
2023-12-31,$122
2023-09-30,$103
2023-06-30,$108
2023-03-31,$96
2022-12-31,$90
2022-09-30,$72
2022-06-30,$71
2022-03-31,$86
2021-12-31,$88
2021-09-30,$75
2021-06-30,$85
2021-03-31,$112
2020-12-31,$141
2020-09-30,$115
2020-06-30,$-3
2020-03-31,$90
2019-12-31,$102
2019-09-30,$112
2019-06-30,$108
2019-03-31,$103
2018-12-31,$106
2018-09-30,$111
2018-06-30,$109
2018-03-31,$111
2017-12-31,$130
2017-09-30,$90
2017-06-30,$89
2017-03-31,$98
2016-12-31,$89
2016-09-30,$92
2016-06-30,$86
2016-03-31,$80
2015-12-31,$88
2015-09-30,$78
2015-06-30,$75
2015-03-31,$77
2014-12-31,$71
2014-09-30,$72
2014-06-30,$77
2014-03-31,$69
2013-12-31,$70
2013-09-30,$56
2013-06-30,$52
2013-03-31,$45
2012-12-31,$40
2012-09-30,$42
2012-06-30,$41
2012-03-31,$46
2011-12-31,$40
2011-09-30,$43
2011-06-30,$38
2011-03-31,$42
2010-12-31,$37
2010-09-30,$34
2010-06-30,$34
2010-03-31,$32
2009-12-31,$30
2009-09-30,$24
2009-06-30,$12
2009-03-31,$-2
