Icahn Enterprises Quarterly Net Income (Millions of US $),Icahn Enterprises Quarterly Net Income (Millions of US $).1
2024-06-30,$-325
2024-03-31,$-37
2023-12-31,$-135
2023-09-30,$-6
2023-06-30,$-264
2023-03-31,$-265
2022-12-31,$-250
2022-09-30,$-121
2022-06-30,$-125
2022-03-31,$317
2021-12-31,$-484
2021-09-30,$-145
2021-06-30,$-134
2021-03-31,$159
2020-12-31,$143
2020-09-30,$-700
2020-06-30,$293
2020-03-31,"$-1,356"
2019-12-31,$-143
2019-09-30,$-49
2019-06-30,$-498
2019-03-31,$-386
2018-12-31,$933
2018-09-30,$118
2018-06-30,$302
2018-03-31,$129
2017-12-31,$298
2017-09-30,$586
2017-06-30,"$1,522"
2017-03-31,$-18
2016-12-31,$-206
2016-09-30,$-16
2016-06-30,$-68
2016-03-31,$-820
2015-12-31,"$-1,127"
2015-09-30,$-432
2015-06-30,$212
2015-03-31,$158
2014-12-31,$-469
2014-09-30,$-348
2014-06-30,$479
2014-03-31,$-28
2013-12-31,$218
2013-09-30,$463
2013-06-30,$53
2013-03-31,$271
2012-12-31,$5
2012-09-30,$77
2012-06-30,$249
2012-03-31,$48
2011-12-31,$255
2011-09-30,$-38
2011-06-30,$283
2011-03-31,$235
2010-12-31,$80
2010-09-30,$292
2010-06-30,$-113
2010-03-31,$-64
2009-12-31,$-7
2009-09-30,$108
2009-06-30,$127
2009-03-31,$1
