Hawaiian Electric Industries Quarterly Net Income (Millions of US $),Hawaiian Electric Industries Quarterly Net Income (Millions of US $).1
2024-06-30,"$-1,295"
2024-03-31,$42
2023-12-31,$49
2023-09-30,$41
2023-06-30,$55
2023-03-31,$55
2022-12-31,$57
2022-09-30,$62
2022-06-30,$53
2022-03-31,$69
2021-12-31,$55
2021-09-30,$63
2021-06-30,$64
2021-03-31,$64
2020-12-31,$50
2020-09-30,$65
2020-06-30,$49
2020-03-31,$33
2019-12-31,$66
2019-09-30,$63
2019-06-30,$43
2019-03-31,$46
2018-12-31,$50
2018-09-30,$66
2018-06-30,$46
2018-03-31,$40
2017-12-31,$32
2017-09-30,$60
2017-06-30,$39
2017-03-31,$34
2016-12-31,$45
2016-09-30,$127
2016-06-30,$44
2016-03-31,$32
2015-12-31,$42
2015-09-30,$51
2015-06-30,$35
2015-03-31,$32
2014-12-31,$33
2014-09-30,$48
2014-06-30,$41
2014-03-31,$46
2013-12-31,$39
2013-09-30,$48
2013-06-30,$41
2013-03-31,$34
2012-12-31,$14
2012-09-30,$48
2012-06-30,$39
2012-03-31,$38
2011-12-31,$34
2011-09-30,$48
2011-06-30,$27
2011-03-31,$28
2010-12-31,$25
2010-09-30,$32
2010-06-30,$29
2010-03-31,$27
2009-12-31,$14
2009-09-30,$33
2009-06-30,$15
2009-03-31,$20
