First BanCorp Quarterly Net Income (Millions of US $),First BanCorp Quarterly Net Income (Millions of US $).1
2024-06-30,$76
2024-03-31,$73
2023-12-31,$79
2023-09-30,$82
2023-06-30,$71
2023-03-31,$71
2022-12-31,$73
2022-09-30,$75
2022-06-30,$75
2022-03-31,$83
2021-12-31,$72
2021-09-30,$75
2021-06-30,$70
2021-03-31,$60
2020-12-31,$49
2020-09-30,$28
2020-06-30,$21
2020-03-31,$2
2019-12-31,$36
2019-09-30,$46
2019-06-30,$41
2019-03-31,$43
2018-12-31,$100
2018-09-30,$36
2018-06-30,$30
2018-03-31,$32
2017-12-31,$24
2017-09-30,$-11
2017-06-30,$27
2017-03-31,$25
2016-12-31,$24
2016-09-30,$24
2016-06-30,$22
2016-03-31,$23
2015-12-31,$15
2015-09-30,$15
2015-06-30,$-34
2015-03-31,$26
2014-12-31,$331
2014-09-30,$23
2014-06-30,$23
2014-03-31,$17
2013-12-31,$15
2013-09-30,$16
2013-06-30,$-123
2013-03-31,$-73
2012-12-31,$15
2012-09-30,$19
2012-06-30,$9
2012-03-31,$-13
2011-12-31,$262
2011-09-30,$-31
2011-06-30,$-22
2011-03-31,$-35
2010-12-31,$-270
2010-09-30,$358
2010-06-30,$-97
2010-03-31,$-113
2009-12-31,$-59
2009-09-30,$-175
2009-06-30,$-95
2009-03-31,$7
