KB Financial Group Inc Quarterly Net Income (Millions of US $),KB Financial Group Inc Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,213"
2024-03-31,$839
2023-12-31,$163
2023-09-30,"$1,099"
2023-06-30,"$1,161"
2023-03-31,"$1,166"
2022-12-31,$439
2022-09-30,$866
2022-06-30,"$1,020"
2022-03-31,"$1,163"
2021-12-31,$498
2021-09-30,"$1,022"
2021-06-30,"$1,068"
2021-03-31,"$1,131"
2020-12-31,$889
2020-09-30,$928
2020-06-30,$783
2020-03-31,$581
2019-12-31,$461
2019-09-30,$752
2019-06-30,$892
2019-03-31,$761
2018-12-31,$137
2018-09-30,$858
2018-06-30,$852
2018-03-31,$903
2017-12-31,$620
2017-09-30,$808
2017-06-30,$891
2017-03-31,$783
2016-12-31,$315
2016-09-30,$508
2016-06-30,$522
2016-03-31,$436
2015-12-31,$312
2015-09-30,$366
2015-06-30,$306
2015-03-31,$557
2014-12-31,$179
2014-09-30,$447
2014-06-30,$380
2014-03-31,$365
2013-12-31,$238
2013-09-30,$384
2013-06-30,$149
2013-03-31,$383
2012-12-31,$131
2012-09-30,$365
2012-06-30,$497
2012-03-31,$537
2011-12-31,$191
2011-09-30,$539
2011-06-30,$752
2011-03-31,$674
2010-12-31,$278
2010-09-30,$72
2010-06-30,$-281
2010-03-31,$515
2009-12-31,$16
2009-09-30,$146
2009-06-30,$88
2009-03-31,$179
