Bank OZK Quarterly Net Income (Millions of US $),Bank OZK Quarterly Net Income (Millions of US $).1
2024-06-30,$173
2024-03-31,$171
2023-12-31,$171
2023-09-30,$170
2023-06-30,$168
2023-03-31,$166
2022-12-31,$159
2022-09-30,$128
2022-06-30,$132
2022-03-31,$128
2021-12-31,$150
2021-09-30,$130
2021-06-30,$151
2021-03-31,$148
2020-12-31,$121
2020-09-30,$109
2020-06-30,$50
2020-03-31,$12
2019-12-31,$101
2019-09-30,$104
2019-06-30,$111
2019-03-31,$111
2018-12-31,$115
2018-09-30,$74
2018-06-30,$115
2018-03-31,$113
2017-12-31,$146
2017-09-30,$96
2017-06-30,$91
2017-03-31,$89
2016-12-31,$88
2016-09-30,$76
2016-06-30,$54
2016-03-31,$52
2015-12-31,$51
2015-09-30,$46
2015-06-30,$45
2015-03-31,$40
2014-12-31,$35
2014-09-30,$32
2014-06-30,$26
2014-03-31,$25
2013-12-31,$24
2013-09-30,$26
2013-06-30,$20
2013-03-31,$20
2012-12-31,$21
2012-09-30,$19
2012-06-30,$19
2012-03-31,$18
2011-12-31,$18
2011-09-30,$19
2011-06-30,$50
2011-03-31,$15
2010-12-31,$17
2010-09-30,$20
2010-06-30,$11
2010-03-31,$16
2009-12-31,$10
2009-09-30,$8
2009-06-30,$10
2009-03-31,$9
