ESCO Technologies Quarterly Net Income (Millions of US $),ESCO Technologies Quarterly Net Income (Millions of US $).1
2024-06-30,$29
2024-03-31,$23
2023-12-31,$15
2023-09-30,$32
2023-06-30,$28
2023-03-31,$18
2022-12-31,$15
2022-09-30,$31
2022-06-30,$23
2022-03-31,$17
2021-12-31,$12
2021-09-30,$20
2021-06-30,$15
2021-03-31,$15
2020-12-31,$13
2020-09-30,$-24
2020-06-30,$19
2020-03-31,$18
2019-12-31,$87
2019-09-30,$25
2019-06-30,$20
2019-03-31,$19
2018-12-31,$17
2018-09-30,$28
2018-06-30,$19
2018-03-31,$10
2017-12-31,$35
2017-09-30,$19
2017-06-30,$13
2017-03-31,$11
2016-12-31,$11
2016-09-30,$17
2016-06-30,$12
2016-03-31,$9
2015-12-31,$9
2015-09-30,$13
2015-06-30,$12
2015-03-31,$8
2014-12-31,$10
2014-09-30,$11
2014-06-30,$12
2014-03-31,$-34
2013-12-31,$11
2013-09-30,$-32
2013-06-30,$5
2013-03-31,$2
2012-12-31,$0
2012-09-30,$18
2012-06-30,$14
2012-03-31,$10
2011-12-31,$5
2011-09-30,$15
2011-06-30,$13
2011-03-31,$13
2010-12-31,$11
2010-09-30,$24
2010-06-30,$15
2010-03-31,$6
2009-12-31,$0
2009-09-30,$22
2009-06-30,$11
2009-03-31,$10
