Centerra Gold Quarterly Net Income (Millions of US $),Centerra Gold Quarterly Net Income (Millions of US $).1
2024-06-30,$38
2024-03-31,$66
2023-12-31,$-29
2023-09-30,$61
2023-06-30,$-40
2023-03-31,$-73
2022-12-31,$-130
2022-09-30,$-34
2022-06-30,$-3
2022-03-31,$89
2021-12-31,$275
2021-09-30,$28
2021-06-30,$-852
2021-03-31,$167
2020-12-31,$102
2020-09-30,$206
2020-06-30,$81
2020-03-31,$20
2019-12-31,$-12
2019-09-30,$-165
2019-06-30,$33
2019-03-31,$50
2018-12-31,$49
2018-09-30,$6
2018-06-30,$44
2018-03-31,$9
2017-12-31,
