Goldman Sachs BDC Quarterly Net Income (Millions of US $),Goldman Sachs BDC Quarterly Net Income (Millions of US $).1
2024-06-30,$-54
2024-03-31,$42
2023-12-31,$51
2023-09-30,$52
2023-06-30,$66
2023-03-31,$28
2022-12-31,$4
2022-09-30,$-8
2022-06-30,$19
2022-03-31,$40
2021-12-31,$39
2021-09-30,$38
2021-06-30,$55
2021-03-31,$60
2020-12-31,$173
2020-09-30,$32
2020-06-30,$35
2020-03-31,$-64
2019-12-31,$9
2019-09-30,$9
2019-06-30,$16
2019-03-31,$2
2018-12-31,$-1
2018-09-30,$19
2018-06-30,$17
2018-03-31,$18
2017-12-31,$12
2017-09-30,$18
2017-06-30,$5
2017-03-31,$15
2016-12-31,$6
2016-09-30,$23
2016-06-30,$7
2016-03-31,$5
2015-12-31,$1
2015-09-30,$13
2015-06-30,$18
2015-03-31,$14
2014-12-31,$4
2014-09-30,$11
2014-06-30,$12
2014-03-31,$9
2013-12-31,
