Arthur J Gallagher Quarterly Net Income (Millions of US $),Arthur J Gallagher Quarterly Net Income (Millions of US $).1
2024-06-30,$283
2024-03-31,$608
2023-12-31,$-32
2023-09-30,$281
2023-06-30,$235
2023-03-31,$487
2022-12-31,$136
2022-09-30,$256
2022-06-30,$284
2022-03-31,$439
2021-12-31,$109
2021-09-30,$225
2021-06-30,$190
2021-03-31,$382
2020-12-31,$142
2020-09-30,$177
2020-06-30,$154
2020-03-31,$346
2019-12-31,$99
2019-09-30,$126
2019-06-30,$110
2019-03-31,$334
2018-12-31,$117
2018-09-30,$128
2018-06-30,$115
2018-03-31,$274
2017-12-31,$72
2017-09-30,$111
2017-06-30,$70
2017-03-31,$229
2016-12-31,$78
2016-09-30,$123
2016-06-30,$150
2016-03-31,$47
2015-12-31,$62
2015-09-30,$133
2015-06-30,$139
2015-03-31,$22
2014-12-31,$52
2014-09-30,$94
2014-06-30,$109
2014-03-31,$49
2013-12-31,$60
2013-09-30,$75
2013-06-30,$94
2013-03-31,$41
2012-12-31,$34
2012-09-30,$62
2012-06-30,$72
2012-03-31,$28
2011-12-31,$41
2011-09-30,$47
2011-06-30,$42
2011-03-31,$15
2010-12-31,$55
2010-09-30,$46
2010-06-30,$44
2010-03-31,$29
2009-12-31,$17
2009-09-30,$42
2009-06-30,$44
2009-03-31,$26
