AeroVironment Quarterly Net Income (Millions of US $),AeroVironment Quarterly Net Income (Millions of US $).1
2024-07-31,$21
2024-04-30,$6
2024-01-31,$14
2023-10-31,$18
2023-07-31,$22
2023-04-30,$-160
2023-01-31,$-1
2022-10-31,$-7
2022-07-31,$-8
2022-04-30,$7
2022-01-31,$0
2021-10-31,$3
2021-07-31,$-14
2021-04-30,$11
2021-01-31,$0
2020-10-31,$2
2020-07-31,$10
2020-04-30,$17
2020-01-31,$-1
2019-10-31,$8
2019-07-31,$17
2019-04-30,$6
2019-01-31,$8
2018-10-31,$6
2018-07-31,$27
2018-04-30,$17
2018-01-31,$-1
2017-10-31,$8
2017-07-31,$-6
2017-04-30,$31
2017-01-31,$-2
2016-10-31,$-4
2016-07-31,$-12
2016-04-30,$5
2016-01-31,$6
2015-10-31,$4
2015-07-31,$-7
2015-04-30,$7
2015-01-31,$2
2014-10-31,$-3
2014-07-31,$-4
2014-04-30,$8
2014-01-31,$11
2013-10-31,$2
2013-07-31,$-7
2013-04-30,$-1
2013-01-31,$4
2012-10-31,$9
2012-07-31,$-1
2012-04-30,$18
2012-01-31,$6
2011-10-31,$7
2011-07-31,$0
2011-04-30,$18
2011-01-31,$11
2010-10-31,$0
2010-07-31,$-3
2010-04-30,$16
2010-01-31,$7
2009-10-31,$2
2009-07-31,$-4
2009-04-30,$6
2009-01-31,$5
