Pacific Gas & Electric Quarterly Net Income (Millions of US $),Pacific Gas & Electric Quarterly Net Income (Millions of US $).1
2024-06-30,$520
2024-03-31,$732
2023-12-31,$919
2023-09-30,$348
2023-06-30,$406
2023-03-31,$569
2022-12-31,$513
2022-09-30,$456
2022-06-30,$356
2022-03-31,$475
2021-12-31,$472
2021-09-30,"$-1,091"
2021-06-30,$397
2021-03-31,$120
2020-12-31,$200
2020-09-30,$83
2020-06-30,"$-1,972"
2020-03-31,$371
2019-12-31,"$-3,620"
2019-09-30,"$-1,619"
2019-06-30,"$-2,553"
2019-03-31,$136
2018-12-31,"$-6,873"
2018-09-30,$564
2018-06-30,$-984
2018-03-31,$442
2017-12-31,$114
2017-09-30,$550
2017-06-30,$406
2017-03-31,$576
2016-12-31,$692
2016-09-30,$388
2016-06-30,$206
2016-03-31,$107
2015-12-31,$134
2015-09-30,$307
2015-06-30,$402
2015-03-31,$31
2014-12-31,$131
2014-09-30,$811
2014-06-30,$267
2014-03-31,$227
2013-12-31,$86
2013-09-30,$161
2013-06-30,$328
2013-03-31,$239
2012-12-31,$-13
2012-09-30,$361
2012-06-30,$235
2012-03-31,$233
2011-12-31,$83
2011-09-30,$200
2011-06-30,$362
2011-03-31,$199
2010-12-31,$250
2010-09-30,$258
2010-06-30,$333
2010-03-31,$258
2009-12-31,$273
2009-09-30,$318
2009-06-30,$388
2009-03-31,$241
