First Financial Bankshares Quarterly Net Income (Millions of US $),First Financial Bankshares Quarterly Net Income (Millions of US $).1
2024-06-30,$52
2024-03-31,$53
2023-12-31,$46
2023-09-30,$50
2023-06-30,$51
2023-03-31,$53
2022-12-31,$59
2022-09-30,$59
2022-06-30,$60
2022-03-31,$56
2021-12-31,$55
2021-09-30,$59
2021-06-30,$56
2021-03-31,$57
2020-12-31,$58
2020-09-30,$53
2020-06-30,$53
2020-03-31,$37
2019-12-31,$41
2019-09-30,$43
2019-06-30,$42
2019-03-31,$38
2018-12-31,$38
2018-09-30,$40
2018-06-30,$38
2018-03-31,$35
2017-12-31,$36
2017-09-30,$29
2017-06-30,$28
2017-03-31,$27
2016-12-31,$27
2016-09-30,$26
2016-06-30,$27
2016-03-31,$26
2015-12-31,$25
2015-09-30,$26
2015-06-30,$25
2015-03-31,$24
2014-12-31,$23
2014-09-30,$23
2014-06-30,$21
2014-03-31,$22
2013-12-31,$21
2013-09-30,$20
2013-06-30,$19
2013-03-31,$19
2012-12-31,$18
2012-09-30,$20
2012-06-30,$18
2012-03-31,$18
2011-12-31,$17
2011-09-30,$18
2011-06-30,$17
2011-03-31,$16
2010-12-31,$16
2010-09-30,$16
2010-06-30,$14
2010-03-31,$14
2009-12-31,$13
2009-09-30,$14
2009-06-30,$14
2009-03-31,$14
