JPMorgan Chase Quarterly Net Income (Millions of US $),JPMorgan Chase Quarterly Net Income (Millions of US $).1
2024-06-30,"$17,718"
2024-03-31,"$12,942"
2023-12-31,"$8,871"
2023-09-30,"$12,685"
2023-06-30,"$14,011"
2023-03-31,"$12,193"
2022-12-31,"$10,597"
2022-09-30,"$9,255"
2022-06-30,"$8,195"
2022-03-31,"$7,845"
2021-12-31,"$9,927"
2021-09-30,"$11,229"
2021-06-30,"$11,496"
2021-03-31,"$13,851"
2020-12-31,"$11,699"
2020-09-30,"$9,015"
2020-06-30,"$4,265"
2020-03-31,"$2,431"
2019-12-31,"$8,091"
2019-09-30,"$8,606"
2019-06-30,"$9,192"
2019-03-31,"$8,753"
2018-12-31,"$6,643"
2018-09-30,"$7,948"
2018-06-30,"$7,880"
2018-03-31,"$8,238"
2017-12-31,"$3,775"
2017-09-30,"$6,262"
2017-06-30,"$6,555"
2017-03-31,"$5,975"
2016-12-31,"$6,248"
2016-09-30,"$5,812"
2016-06-30,"$5,728"
2016-03-31,"$5,046"
2015-12-31,"$5,153"
2015-09-30,"$6,270"
2015-06-30,"$5,776"
2015-03-31,"$5,452"
2014-12-31,"$4,488"
2014-09-30,"$5,128"
2014-06-30,"$5,568"
2014-03-31,"$4,893"
2013-12-31,"$4,975"
2013-09-30,$-650
2013-06-30,"$6,101"
2013-03-31,"$6,131"
2012-12-31,"$5,320"
2012-09-30,"$5,346"
2012-06-30,"$4,634"
2012-03-31,"$4,577"
2011-12-31,"$3,429"
2011-09-30,"$3,936"
2011-06-30,"$5,067"
2011-03-31,"$5,136"
2010-12-31,"$4,408"
2010-09-30,"$4,019"
2010-06-30,"$4,363"
2010-03-31,"$2,974"
2009-12-31,"$2,943"
2009-09-30,"$3,240"
2009-06-30,"$1,072"
2009-03-31,"$1,519"
