Advance Auto Parts Quarterly Net Income (Millions of US $),Advance Auto Parts Quarterly Net Income (Millions of US $).1
2024-06-30,$45
2024-03-31,$40
2023-12-31,$-49
2023-09-30,$-49
2023-06-30,$79
2023-03-31,$48
2022-12-31,$64
2022-09-30,$116
2022-06-30,$144
2022-03-31,$140
2021-12-31,$62
2021-09-30,$170
2021-06-30,$179
2021-03-31,$186
2020-12-31,$112
2020-09-30,$147
2020-06-30,$190
2020-03-31,$44
2019-12-31,$96
2019-09-30,$124
2019-06-30,$125
2019-03-31,$143
2018-12-31,$53
2018-09-30,$116
2018-06-30,$118
2018-03-31,$137
2017-12-31,$185
2017-09-30,$96
2017-06-30,$87
2017-03-31,$108
2016-12-31,$62
2016-09-30,$114
2016-06-30,$125
2016-03-31,$159
2015-12-31,$55
2015-09-30,$120
2015-06-30,$150
2015-03-31,$148
2014-12-31,$84
2014-09-30,$122
2014-06-30,$139
2014-03-31,$147
2013-12-31,$49
2013-09-30,$104
2013-06-30,$117
2013-03-31,$122
2012-12-31,$65
2012-09-30,$90
2012-06-30,$100
2012-03-31,$133
2011-12-31,$66
2011-09-30,$105
2011-06-30,$113
2011-03-31,$109
2010-12-31,$48
2010-09-30,$87
2010-06-30,$100
2010-03-31,$109
2009-12-31,$34
2009-09-30,$62
2009-06-30,$80
2009-03-31,$93
