Caterpillar Quarterly Net Income (Millions of US $),Caterpillar Quarterly Net Income (Millions of US $).1
2024-06-30,"$2,681"
2024-03-31,"$2,856"
2023-12-31,"$2,676"
2023-09-30,"$2,794"
2023-06-30,"$2,922"
2023-03-31,"$1,943"
2022-12-31,"$1,454"
2022-09-30,"$2,041"
2022-06-30,"$1,673"
2022-03-31,"$1,537"
2021-12-31,"$2,120"
2021-09-30,"$1,426"
2021-06-30,"$1,413"
2021-03-31,"$1,530"
2020-12-31,$780
2020-09-30,$668
2020-06-30,$458
2020-03-31,"$1,092"
2019-12-31,"$1,098"
2019-09-30,"$1,494"
2019-06-30,"$1,620"
2019-03-31,"$1,881"
2018-12-31,"$1,048"
2018-09-30,"$1,727"
2018-06-30,"$1,707"
2018-03-31,"$1,665"
2017-12-31,"$-1,299"
2017-09-30,"$1,059"
2017-06-30,$802
2017-03-31,$192
2016-12-31,"$-1,171"
2016-09-30,$283
2016-06-30,$550
2016-03-31,$271
2015-12-31,$-94
2015-09-30,$559
2015-06-30,$802
2015-03-31,"$1,245"
2014-12-31,$-486
2014-09-30,"$1,017"
2014-06-30,$999
2014-03-31,$922
2013-12-31,"$1,003"
2013-09-30,$946
2013-06-30,$960
2013-03-31,$880
2012-12-31,$697
2012-09-30,"$1,699"
2012-06-30,"$1,699"
2012-03-31,"$1,586"
2011-12-31,"$1,547"
2011-09-30,"$1,141"
2011-06-30,"$1,015"
2011-03-31,"$1,225"
2010-12-31,$968
2010-09-30,$792
2010-06-30,$707
2010-03-31,$233
2009-12-31,$232
2009-09-30,$404
2009-06-30,$371
2009-03-31,$-112
