Stag Industrial Quarterly Net Income (Millions of US $),Stag Industrial Quarterly Net Income (Millions of US $).1
2024-06-30,$60
2024-03-31,$37
2023-12-31,$42
2023-09-30,$50
2023-06-30,$52
2023-03-31,$49
2022-12-31,$30
2022-09-30,$63
2022-06-30,$32
2022-03-31,$53
2021-12-31,$86
2021-09-30,$48
2021-06-30,$33
2021-03-31,$21
2020-12-31,$95
2020-09-30,$22
2020-06-30,$18
2020-03-31,$62
2019-12-31,$16
2019-09-30,$10
2019-06-30,$12
2019-03-31,$6
2018-12-31,$44
2018-09-30,$7
2018-06-30,$9
2018-03-31,$22
2017-12-31,$6
2017-09-30,$18
2017-06-30,$-1
2017-03-31,$-2
2016-12-31,$28
2016-09-30,$-4
2016-06-30,$-13
2016-03-31,$9
2015-12-31,$-20
2015-09-30,$-7
2015-06-30,$-8
2015-03-31,$-4
2014-12-31,$-5
2014-09-30,$-2
2014-06-30,$-5
2014-03-31,$-2
2013-12-31,$2
2013-09-30,$-2
2013-06-30,$-2
2013-03-31,$-2
2012-12-31,$-3
2012-09-30,$-5
2012-06-30,$-2
2012-03-31,$-2
2011-12-31,$-3
2011-09-30,$-0
2011-06-30,$-4
2011-03-31,$-0
2010-12-31,$1
2010-09-30,$-2
2010-06-30,$-1
2010-03-31,$-1
2009-12-31,
