Renasant Quarterly Net Income (Millions of US $),Renasant Quarterly Net Income (Millions of US $).1
2024-06-30,$39
2024-03-31,$39
2023-12-31,$28
2023-09-30,$42
2023-06-30,$29
2023-03-31,$46
2022-12-31,$46
2022-09-30,$47
2022-06-30,$40
2022-03-31,$34
2021-12-31,$37
2021-09-30,$40
2021-06-30,$41
2021-03-31,$58
2020-12-31,$32
2020-09-30,$30
2020-06-30,$20
2020-03-31,$2
2019-12-31,$38
2019-09-30,$37
2019-06-30,$47
2019-03-31,$45
2018-12-31,$44
2018-09-30,$32
2018-06-30,$37
2018-03-31,$34
2017-12-31,$17
2017-09-30,$26
2017-06-30,$25
2017-03-31,$24
2016-12-31,$24
2016-09-30,$23
2016-06-30,$23
2016-03-31,$21
2015-12-31,$21
2015-09-30,$16
2015-06-30,$15
2015-03-31,$15
2014-12-31,$16
2014-09-30,$16
2014-06-30,$15
2014-03-31,$14
2013-12-31,$11
2013-09-30,$7
2013-06-30,$8
2013-03-31,$8
2012-12-31,$7
2012-09-30,$7
2012-06-30,$6
2012-03-31,$6
2011-12-31,$6
2011-09-30,$7
2011-06-30,$6
2011-03-31,$8
2010-12-31,$5
2010-09-30,$20
2010-06-30,$4
2010-03-31,$4
2009-12-31,$4
2009-09-30,$4
2009-06-30,$4
2009-03-31,$6
