Newell Brands Quarterly Net Income (Millions of US $),Newell Brands Quarterly Net Income (Millions of US $).1
2024-06-30,$45
2024-03-31,$-9
2023-12-31,$-86
2023-09-30,$-218
2023-06-30,$18
2023-03-31,$-102
2022-12-31,$-249
2022-09-30,$19
2022-06-30,$199
2022-03-31,$228
2021-12-31,$146
2021-09-30,$190
2021-06-30,$197
2021-03-31,$89
2020-12-31,$131
2020-09-30,$304
2020-06-30,$78
2020-03-31,"$-1,279"
2019-12-31,$794
2019-09-30,$-626
2019-06-30,$90
2019-03-31,$-151
2018-12-31,$184
2018-09-30,"$-7,311"
2018-06-30,$132
2018-03-31,$53
2017-12-31,"$1,653"
2017-09-30,$234
2017-06-30,$223
2017-03-31,$639
2016-12-31,$166
2016-09-30,$187
2016-06-30,$135
2016-03-31,$41
2015-12-31,$13
2015-09-30,$134
2015-06-30,$149
2015-03-31,$54
2014-12-31,$52
2014-09-30,$122
2014-06-30,$151
2014-03-31,$53
2013-12-31,$117
2013-09-30,$193
2013-06-30,$110
2013-03-31,$54
2012-12-31,$102
2012-09-30,$108
2012-06-30,$112
2012-03-31,$79
2011-12-31,$80
2011-09-30,$-178
2011-06-30,$147
2011-03-31,$76
2010-12-31,$76
2010-09-30,$28
2010-06-30,$130
2010-03-31,$58
2009-12-31,$61
2009-09-30,$86
2009-06-30,$106
2009-03-31,$34
