Millicom Cellular SA Quarterly Net Income (Millions of US $),Millicom Cellular SA Quarterly Net Income (Millions of US $).1
2024-06-30,$78
2024-03-31,$92
2023-12-31,$-63
2023-09-30,
2023-06-30,$-22
2023-03-31,$3
2022-12-31,$57
2022-09-30,$-32
2022-06-30,$129
2022-03-31,$23
2021-12-31,$643
2021-09-30,$5
2021-06-30,$-100
2021-03-31,$42
2020-12-31,$-56
2020-09-30,$-51
2020-06-30,$-115
2020-03-31,$-122
2019-12-31,$222
2019-09-30,$-131
2019-06-30,$45
2019-03-31,$13
2018-12-31,$-94
2018-09-30,$68
2018-06-30,$-1
2018-03-31,$17
2017-12-31,$69
2017-09-30,$20
2017-06-30,$-27
2017-03-31,$24
2016-12-31,$-129
2016-09-30,$20
2016-06-30,$39
2016-03-31,$38
2015-12-31,$-427
2015-09-30,$12
2015-06-30,$-99
2015-03-31,$-46
2014-12-31,$48
2014-09-30,$165
2014-06-30,$186
2014-03-31,"$2,244"
2013-12-31,$55
2013-09-30,$-37
2013-06-30,$66
2013-03-31,$145
2012-12-31,$87
2012-09-30,$114
2012-06-30,$212
2012-03-31,$95
2011-12-31,$180
2011-09-30,$288
2011-06-30,$175
2011-03-31,$230
2010-12-31,$157
2010-09-30,"$1,205"
2010-06-30,$134
2010-03-31,$156
2009-12-31,$454
2009-09-30,$143
2009-06-30,$114
2009-03-31,$140
