RH Quarterly Net Income (Millions of US $),RH Quarterly Net Income (Millions of US $).1
2024-07-31,$29
2024-04-30,$-4
2024-01-31,$11
2023-10-31,$-2
2023-07-31,$76
2023-04-30,$42
2023-01-31,$107
2022-10-31,$99
2022-07-31,$122
2022-04-30,$201
2022-01-31,$147
2021-10-31,$184
2021-07-31,$227
2021-04-30,$131
2021-01-31,$130
2020-10-31,$46
2020-07-31,$98
2020-04-30,$-3
2020-01-31,$68
2019-10-31,$52
2019-07-31,$64
2019-04-30,$36
2019-01-31,$27
2018-10-31,$20
2018-07-31,$63
2018-04-30,$25
2018-01-31,$-5
2017-10-31,$13
2017-07-31,$-8
2017-04-30,$-3
2017-01-31,$9
2016-10-31,$3
2016-07-31,$7
2016-04-30,$-13
2016-01-31,$33
2015-10-31,$21
2015-07-31,$30
2015-04-30,$7
2015-01-31,$43
2014-10-31,$19
2014-07-31,$27
2014-04-30,$2
2014-01-31,$27
2013-10-31,$10
2013-07-31,$-18
2013-04-30,$-0
2013-01-31,$-28
2012-10-31,$2
2012-07-31,$18
2012-04-30,$-4
2012-01-31,
2011-10-31,$-5
2011-01-31,
