Denison Mine Corp Quarterly Net Income (Millions of US $),Denison Mine Corp Quarterly Net Income (Millions of US $).1
2024-06-30,$-12
2024-03-31,$-15
2023-12-31,$25
2023-09-30,$43
2023-06-30,$0
2023-03-31,$-2
2022-12-31,$-5
2022-09-30,$-5
2022-06-30,$-13
2022-03-31,$34
2021-12-31,$-2
2021-09-30,$26
2021-06-30,$-2
2021-03-31,$-7
2020-12-31,$-2
2020-09-30,$-4
2020-06-30,$-1
2020-03-31,$-5
2019-12-31,$-1
2019-09-30,$-5
2019-06-30,$-4
2019-03-31,$-4
2018-12-31,$-10
2018-09-30,$-3
2018-06-30,$-4
2018-03-31,$-6
2017-12-31,$-1
2017-09-30,$-6
2017-06-30,$-7
2017-03-31,$-1
2016-12-31,$-10
2016-09-30,$7
2016-06-30,$-4
2016-03-31,$-10
2015-12-31,$-16
2015-09-30,$-21
2015-06-30,$-4
2015-03-31,$-10
2014-12-31,$-5
2014-09-30,$-3
2014-06-30,$-12
2014-03-31,$-13
2013-12-31,$-30
2013-09-30,$-45
2013-06-30,$-2
2013-03-31,$-5
2012-12-31,$-4
2012-09-30,$-9
2012-06-30,$-52
2012-03-31,$-52
2011-12-31,$-66
2011-09-30,$15
2011-06-30,$-14
2011-03-31,$-7
2010-12-31,$-3
2010-09-30,$-10
2010-06-30,$17
2010-03-31,$-9
2009-12-31,$-36
2009-09-30,$-91
2009-06-30,$-18
2009-03-31,$-1
