Mueller Industries Quarterly Net Income (Millions of US $),Mueller Industries Quarterly Net Income (Millions of US $).1
2024-06-30,$160
2024-03-31,$138
2023-12-31,$119
2023-09-30,$133
2023-06-30,$178
2023-03-31,$173
2022-12-31,$139
2022-09-30,$155
2022-06-30,$207
2022-03-31,$158
2021-12-31,$126
2021-09-30,$171
2021-06-30,$109
2021-03-31,$63
2020-12-31,$36
2020-09-30,$43
2020-06-30,$28
2020-03-31,$32
2019-12-31,$28
2019-09-30,$29
2019-06-30,$28
2019-03-31,$16
2018-12-31,$27
2018-09-30,$20
2018-06-30,$33
2018-03-31,$24
2017-12-31,$6
2017-09-30,$22
2017-06-30,$28
2017-03-31,$30
2016-12-31,$17
2016-09-30,$26
2016-06-30,$28
2016-03-31,$29
2015-12-31,$14
2015-09-30,$18
2015-06-30,$34
2015-03-31,$22
2014-12-31,$18
2014-09-30,$24
2014-06-30,$35
2014-03-31,$25
2013-12-31,$15
2013-09-30,$40
2013-06-30,$91
2013-03-31,$26
2012-12-31,$16
2012-09-30,$16
2012-06-30,$18
2012-03-31,$33
2011-12-31,$13
2011-09-30,$10
2011-06-30,$22
2011-03-31,$41
2010-12-31,$18
2010-09-30,$19
2010-06-30,$16
2010-03-31,$34
2009-12-31,$-18
2009-09-30,$19
2009-06-30,$6
2009-03-31,$-2
