Corebridge Financial Quarterly Net Income (Millions of US $),Corebridge Financial Quarterly Net Income (Millions of US $).1
2024-06-30,$365
2024-03-31,$878
2023-12-31,"$-1,309"
2023-09-30,"$2,101"
2023-06-30,$771
2023-03-31,$-459
2022-12-31,$-207
2022-09-30,"$2,406"
2022-06-30,"$2,594"
2022-03-31,"$3,366"
2021-12-31,
2021-09-30,"$1,420"
2020-12-31,
2019-12-31,
