Innospec Quarterly Net Income (Millions of US $),Innospec Quarterly Net Income (Millions of US $).1
2024-06-30,$31
2024-03-31,$41
2023-12-31,$38
2023-09-30,$39
2023-06-30,$29
2023-03-31,$33
2022-12-31,$26
2022-09-30,$39
2022-06-30,$32
2022-03-31,$37
2021-12-31,$24
2021-09-30,$23
2021-06-30,$22
2021-03-31,$23
2020-12-31,$23
2020-09-30,$13
2020-06-30,$-40
2020-03-31,$33
2019-12-31,$31
2019-09-30,$30
2019-06-30,$22
2019-03-31,$29
2018-12-31,$20
2018-09-30,$21
2018-06-30,$22
2018-03-31,$22
2017-12-31,$-5
2017-09-30,$23
2017-06-30,$26
2017-03-31,$17
2016-12-31,$22
2016-09-30,$11
2016-06-30,$29
2016-03-31,$19
2015-12-31,$32
2015-09-30,$36
2015-06-30,$35
2015-03-31,$18
2014-12-31,$28
2014-09-30,$21
2014-06-30,$19
2014-03-31,$17
2013-12-31,$29
2013-09-30,$14
2013-06-30,$17
2013-03-31,$18
2012-12-31,$11
2012-09-30,$16
2012-06-30,$16
2012-03-31,$25
2011-12-31,$18
2011-09-30,$-17
2011-06-30,$25
2011-03-31,$22
2010-12-31,$24
2010-09-30,$30
2010-06-30,$12
2010-03-31,$7
2009-12-31,$-0
2009-09-30,$-3
2009-06-30,$3
2009-03-31,$6
