Telephone And Data Systems Quarterly Net Income (Millions of US $),Telephone And Data Systems Quarterly Net Income (Millions of US $).1
2024-06-30,$-14
2024-03-31,$12
2023-12-31,$-524
2023-09-30,$-17
2023-06-30,$-19
2023-03-31,$-9
2022-12-31,$-44
2022-09-30,$-25
2022-06-30,$18
2022-03-31,$44
2021-12-31,$12
2021-09-30,$28
2021-06-30,$20
2021-03-31,$57
2020-12-31,$14
2020-09-30,$78
2020-06-30,$65
2020-03-31,$69
2019-12-31,$11
2019-09-30,$18
2019-06-30,$33
2019-03-31,$59
2018-12-31,$17
2018-09-30,$46
2018-06-30,$33
2018-03-31,$39
2017-12-31,$287
2017-09-30,$-181
2017-06-30,$10
2017-03-31,$37
2016-12-31,$-6
2016-09-30,$13
2016-06-30,$28
2016-03-31,$8
2015-12-31,$-1
2015-09-30,$51
2015-06-30,$23
2015-03-31,$146
2014-12-31,$-16
2014-09-30,$-116
2014-06-30,$-22
2014-03-31,$18
2013-12-31,$-6
2013-09-30,$-10
2013-06-30,$156
2013-03-31,$1
2012-12-31,$-42
2012-09-30,$29
2012-06-30,$42
2012-03-31,$52
2011-12-31,$-6
2011-09-30,$71
2011-06-30,$92
2011-03-31,$43
2010-12-31,$15
2010-09-30,$41
2010-06-30,$40
2010-03-31,$48
2009-12-31,$14
2009-09-30,$37
2009-06-30,$66
2009-03-31,$74
