Watts Water Technologies Quarterly Net Income (Millions of US $),Watts Water Technologies Quarterly Net Income (Millions of US $).1
2024-06-30,$82
2024-03-31,$73
2023-12-31,$56
2023-09-30,$66
2023-06-30,$76
2023-03-31,$65
2022-12-31,$69
2022-09-30,$59
2022-06-30,$70
2022-03-31,$55
2021-12-31,$40
2021-09-30,$46
2021-06-30,$38
2021-03-31,$42
2020-12-31,$29
2020-09-30,$33
2020-06-30,$20
2020-03-31,$32
2019-12-31,$32
2019-09-30,$32
2019-06-30,$36
2019-03-31,$31
2018-12-31,$32
2018-09-30,$32
2018-06-30,$36
2018-03-31,$28
2017-12-31,$-2
2017-09-30,$27
2017-06-30,$27
2017-03-31,$22
2016-12-31,$18
2016-09-30,$22
2016-06-30,$29
2016-03-31,$16
2015-12-31,$-118
2015-09-30,$-26
2015-06-30,$19
2015-03-31,$12
2014-12-31,$-8
2014-09-30,$23
2014-06-30,$21
2014-03-31,$14
2013-12-31,$8
2013-09-30,$15
2013-06-30,$19
2013-03-31,$16
2012-12-31,$16
2012-09-30,$19
2012-06-30,$19
2012-03-31,$16
2011-12-31,$17
2011-09-30,$24
2011-06-30,$15
2011-03-31,$11
2010-12-31,$11
2010-09-30,$17
2010-06-30,$22
2010-03-31,$8
2009-12-31,$14
2009-09-30,$3
2009-06-30,$-4
2009-03-31,$3
