JetBlue Airways Quarterly Net Income (Millions of US $),JetBlue Airways Quarterly Net Income (Millions of US $).1
2024-06-30,$25
2024-03-31,$-716
2023-12-31,$-103
2023-09-30,$-153
2023-06-30,$138
2023-03-31,$-192
2022-12-31,$24
2022-09-30,$57
2022-06-30,$-188
2022-03-31,$-255
2021-12-31,$-129
2021-09-30,$130
2021-06-30,$64
2021-03-31,$-247
2020-12-31,$-373
2020-09-30,$-393
2020-06-30,$-320
2020-03-31,$-268
2019-12-31,$161
2019-09-30,$187
2019-06-30,$179
2019-03-31,$42
2018-12-31,$170
2018-09-30,$50
2018-06-30,$-121
2018-03-31,$90
2017-12-31,$670
2017-09-30,$181
2017-06-30,$207
2017-03-31,$82
2016-12-31,$140
2016-09-30,$199
2016-06-30,$181
2016-03-31,$207
2015-12-31,$190
2015-09-30,$198
2015-06-30,$152
2015-03-31,$137
2014-12-31,$88
2014-09-30,$79
2014-06-30,$230
2014-03-31,$4
2013-12-31,$47
2013-09-30,$71
2013-06-30,$36
2013-03-31,$14
2012-12-31,$1
2012-09-30,$45
2012-06-30,$52
2012-03-31,$30
2011-12-31,$23
2011-09-30,$35
2011-06-30,$25
2011-03-31,$3
2010-12-31,$8
2010-09-30,$59
2010-06-30,$31
2010-03-31,$-1
2009-12-31,$14
2009-09-30,$15
2009-06-30,$20
2009-03-31,$12
