Silver Standard Resources Quarterly Net Income (Millions of US $),Silver Standard Resources Quarterly Net Income (Millions of US $).1
2024-06-30,$10
2024-03-31,$-287
2023-12-31,$-218
2023-09-30,$15
2023-06-30,$75
2023-03-31,$30
2022-12-31,$94
2022-09-30,$-26
2022-06-30,$58
2022-03-31,$68
2021-12-31,$127
2021-09-30,$57
2021-06-30,$75
2021-03-31,$109
2020-12-31,$107
2020-09-30,$27
2020-06-30,$-6
2020-03-31,$24
2019-12-31,$19
2019-09-30,$21
2019-06-30,$11
2019-03-31,$6
2018-12-31,$-2
2018-09-30,$6
2018-06-30,$5
2018-03-31,$-2
2017-12-31,$16
2017-09-30,$1
2017-06-30,$37
2017-03-31,$15
2016-12-31,$12
2016-09-30,$38
2016-06-30,$12
2016-03-31,$2
2015-12-31,$-67
2015-09-30,$-59
2015-06-30,$-7
2015-03-31,$9
2014-12-31,$-86
2014-09-30,$-15
2014-06-30,$-7
2014-03-31,$-17
2013-12-31,$30
2013-09-30,$-14
2013-06-30,$-236
2013-03-31,$-5
2012-12-31,$24
2012-09-30,$-2
2012-06-30,$35
2012-03-31,$-1
2011-12-31,$3
2011-09-30,$22
2011-06-30,$46
2011-03-31,$10
2010-12-31,$377
2010-09-30,$-8
2010-06-30,$-15
2010-03-31,$-8
2009-12-31,$-9
2009-09-30,$-0
2009-06-30,$-1
2009-03-31,$-3
