RB Global Quarterly Net Income (Millions of US $),RB Global Quarterly Net Income (Millions of US $).1
2024-06-30,$101
2024-03-31,$97
2023-12-31,$77
2023-09-30,$55
2023-06-30,$77
2023-03-31,$-34
2022-12-31,$45
2022-09-30,$43
2022-06-30,$53
2022-03-31,$178
2021-12-31,$31
2021-09-30,$32
2021-06-30,$61
2021-03-31,$28
2020-12-31,$49
2020-09-30,$45
2020-06-30,$53
2020-03-31,$23
2019-12-31,$52
2019-09-30,$25
2019-06-30,$54
2019-03-31,$18
2018-12-31,$35
2018-09-30,$23
2018-06-30,$46
2018-03-31,$17
2017-12-31,$37
2017-09-30,$10
2017-06-30,$18
2017-03-31,$10
2016-12-31,$28
2016-09-30,$-5
2016-06-30,$40
2016-03-31,$29
2015-12-31,$47
2015-09-30,$21
2015-06-30,$45
2015-03-31,$24
2014-12-31,$29
2014-09-30,$9
2014-06-30,$39
2014-03-31,$14
2013-12-31,$34
2013-09-30,$16
2013-06-30,$30
2013-03-31,$14
2012-12-31,$22
2012-09-30,$8
2012-06-30,$31
2012-03-31,$18
2011-12-31,$27
2011-09-30,$7
2011-06-30,$27
2011-03-31,$17
2010-12-31,$14
2010-09-30,$13
2010-06-30,$26
2010-03-31,$13
2009-12-31,$22
2009-09-30,$13
2009-06-30,$39
2009-03-31,$20
