Horace Mann Educators Quarterly Net Income (Millions of US $),Horace Mann Educators Quarterly Net Income (Millions of US $).1
2024-06-30,$4
2024-03-31,$27
2023-12-31,$40
2023-09-30,$12
2023-06-30,$-13
2023-03-31,$7
2022-12-31,$-17
2022-09-30,$20
2022-06-30,$-4
2022-03-31,$20
2021-12-31,$68
2021-09-30,$16
2021-06-30,$47
2021-03-31,$39
2020-12-31,$48
2020-09-30,$37
2020-06-30,$31
2020-03-31,$19
2019-12-31,$33
2019-09-30,$25
2019-06-30,$94
2019-03-31,$32
2018-12-31,$-20
2018-09-30,$13
2018-06-30,$6
2018-03-31,$20
2017-12-31,$125
2017-09-30,$27
2017-06-30,$2
2017-03-31,$15
2016-12-31,$20
2016-09-30,$27
2016-06-30,$12
2016-03-31,$25
2015-12-31,$21
2015-09-30,$22
2015-06-30,$16
2015-03-31,$34
2014-12-31,$30
2014-09-30,$25
2014-06-30,$20
2014-03-31,$28
2013-12-31,$34
2013-09-30,$24
2013-06-30,$26
2013-03-31,$27
2012-12-31,$32
2012-09-30,$32
2012-06-30,$13
2012-03-31,$27
2011-12-31,$33
2011-09-30,$24
2011-06-30,$-12
2011-03-31,$26
2010-12-31,$14
2010-09-30,$20
2010-06-30,$23
2010-03-31,$23
2009-12-31,$22
2009-09-30,$19
2009-06-30,$19
2009-03-31,$13
