Golden Ocean Group Quarterly Net Income (Millions of US $),Golden Ocean Group Quarterly Net Income (Millions of US $).1
2024-06-30,$62
2024-03-31,$65
2023-12-31,$57
2023-09-30,$29
2023-06-30,$35
2023-03-31,$-9
2022-12-31,$68
2022-09-30,$105
2022-06-30,$164
2022-03-31,$125
2021-12-31,$204
2021-09-30,$195
2021-06-30,$104
2021-03-31,$24
2020-12-31,$25
2020-09-30,$39
2020-06-30,$-41
2020-03-31,$-161
2019-12-31,$41
2019-09-30,$37
2019-06-30,$-33
2019-03-31,$-7
2018-12-31,$24
2018-09-30,$35
2018-06-30,$9
2018-03-31,$17
2017-12-31,$27
2017-09-30,$0
2017-06-30,$-12
2017-03-31,$-18
2016-12-31,$6
2016-09-30,$-27
2016-06-30,$-39
2016-03-31,$-68
2015-12-31,$-71
2015-09-30,$-41
2015-06-30,$-33
2015-03-31,$-75
2014-12-31,$5
2014-09-30,$-6
2014-06-30,$6
2014-03-31,$11
2013-12-31,$3
2013-09-30,$1
2013-06-30,$-1
2013-03-31,$-7
2012-12-31,$-0
2012-09-30,$-57
2012-06-30,$-3
2012-03-31,$7
2011-12-31,$8
2011-09-30,$9
2011-06-30,$7
2011-03-31,$9
2010-12-31,$6
2010-09-30,$9
2010-06-30,$13
2010-03-31,$10
2009-12-31,$9
2009-09-30,$3
2009-06-30,$3
2009-03-31,$6
