Union Pacific Quarterly Net Income (Millions of US $),Union Pacific Quarterly Net Income (Millions of US $).1
2024-06-30,"$1,673"
2024-03-31,"$1,641"
2023-12-31,"$1,652"
2023-09-30,"$1,528"
2023-06-30,"$1,569"
2023-03-31,"$1,630"
2022-12-31,"$1,638"
2022-09-30,"$1,895"
2022-06-30,"$1,835"
2022-03-31,"$1,630"
2021-12-31,"$1,711"
2021-09-30,"$1,673"
2021-06-30,"$1,798"
2021-03-31,"$1,341"
2020-12-31,"$1,380"
2020-09-30,"$1,363"
2020-06-30,"$1,132"
2020-03-31,"$1,474"
2019-12-31,"$1,403"
2019-09-30,"$1,555"
2019-06-30,"$1,570"
2019-03-31,"$1,391"
2018-12-31,"$1,554"
2018-09-30,"$1,593"
2018-06-30,"$1,509"
2018-03-31,"$1,310"
2017-12-31,"$7,278"
2017-09-30,"$1,194"
2017-06-30,"$1,168"
2017-03-31,"$1,072"
2016-12-31,"$1,144"
2016-09-30,"$1,131"
2016-06-30,$979
2016-03-31,$979
2015-12-31,"$1,117"
2015-09-30,"$1,300"
2015-06-30,"$1,204"
2015-03-31,"$1,151"
2014-12-31,"$1,431"
2014-09-30,"$1,370"
2014-06-30,"$1,291"
2014-03-31,"$1,088"
2013-12-31,"$1,174"
2013-09-30,"$1,151"
2013-06-30,"$1,106"
2013-03-31,$957
2012-12-31,"$1,036"
2012-09-30,"$1,042"
2012-06-30,"$1,002"
2012-03-31,$863
2011-12-31,$964
2011-09-30,$904
2011-06-30,$785
2011-03-31,$639
2010-12-31,$775
2010-09-30,$778
2010-06-30,$711
2010-03-31,$516
2009-12-31,$549
2009-09-30,$514
2009-06-30,$465
2009-03-31,$362
