Crown Holdings Quarterly Net Income (Millions of US $),Crown Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$174
2024-03-31,$67
2023-12-31,$32
2023-09-30,$159
2023-06-30,$157
2023-03-31,$102
2022-12-31,$89
2022-09-30,$127
2022-06-30,$295
2022-03-31,$216
2021-12-31,"$-1,001"
2021-09-30,$102
2021-06-30,$128
2021-03-31,$211
2020-12-31,$151
2020-09-30,$214
2020-06-30,$126
2020-03-31,$88
2019-12-31,$87
2019-09-30,$183
2019-06-30,$137
2019-03-31,$103
2018-12-31,$53
2018-09-30,$164
2018-06-30,$132
2018-03-31,$90
2017-12-31,$-89
2017-09-30,$177
2017-06-30,$128
2017-03-31,$107
2016-12-31,$65
2016-09-30,$183
2016-06-30,$169
2016-03-31,$79
2015-12-31,$66
2015-09-30,$141
2015-06-30,$142
2015-03-31,$44
2014-12-31,$16
2014-09-30,$244
2014-06-30,$106
2014-03-31,$24
2013-12-31,$49
2013-09-30,$101
2013-06-30,$133
2013-03-31,$41
2012-12-31,$31
2012-09-30,$325
2012-06-30,$134
2012-03-31,$69
2011-12-31,$8
2011-09-30,$129
2011-06-30,$129
2011-03-31,$16
2010-12-31,$45
2010-09-30,$126
2010-06-30,$112
2010-03-31,$41
2009-12-31,$81
2009-09-30,$108
2009-06-30,$105
2009-03-31,$40
