Centrus Energy Quarterly Net Income (Millions of US $),Centrus Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$31
2024-03-31,$-6
2023-12-31,$56
2023-09-30,$8
2023-06-30,$13
2023-03-31,$7
2022-12-31,$20
2022-09-30,$-6
2022-06-30,$37
2022-03-31,$-0
2021-12-31,$85
2021-09-30,$41
2021-06-30,$11
2021-03-31,$-2
2020-12-31,$-26
2020-09-30,$-9
2020-06-30,$32
2020-03-31,$9
2019-12-31,$-5
2019-09-30,$21
2019-06-30,$-18
2019-03-31,$-23
2018-12-31,$-47
2018-09-30,$-10
2018-06-30,$-28
2018-03-31,$-27
2017-12-31,$34
2017-09-30,$-11
2017-06-30,$-24
2017-03-31,$7
2016-12-31,$-8
2016-09-30,$-41
2016-06-30,$-3
2016-03-31,$-15
2015-12-31,$-102
2015-09-30,$-55
2015-06-30,$-15
2015-03-31,$-15
2014-12-31,$-42
2014-09-30,$419
2014-06-30,$-28
2014-03-31,$-51
2013-12-31,$-72
2013-09-30,$-44
2013-06-30,$-41
2013-03-31,$-2
2012-12-31,"$-1,084"
2012-09-30,$5
2012-06-30,$-92
2012-03-31,$-29
2011-12-31,$-446
2011-09-30,$-7
2011-06-30,$-21
2011-03-31,$-17
2010-12-31,$9
2010-09-30,$1
2010-06-30,$7
2010-03-31,$-10
2009-12-31,$50
2009-09-30,$-6
2009-06-30,$17
2009-03-31,$-2
