Visteon Quarterly Net Income (Millions of US $),Visteon Quarterly Net Income (Millions of US $).1
2024-06-30,$71
2024-03-31,$42
2023-12-31,$366
2023-09-30,$66
2023-06-30,$20
2023-03-31,$34
2022-12-31,$34
2022-09-30,$44
2022-06-30,$24
2022-03-31,$22
2021-12-31,$31
2021-09-30,$5
2021-06-30,$-11
2021-03-31,$16
2020-12-31,$18
2020-09-30,$6
2020-06-30,$-45
2020-03-31,$-35
2019-12-31,$35
2019-09-30,$14
2019-06-30,$7
2019-03-31,$14
2018-12-31,$43
2018-09-30,$21
2018-06-30,$35
2018-03-31,$65
2017-12-31,$25
2017-09-30,$43
2017-06-30,$45
2017-03-31,$63
2016-12-31,$2
2016-09-30,$28
2016-06-30,$26
2016-03-31,$19
2015-12-31,$21
2015-09-30,$5
2015-06-30,"$2,208"
2015-03-31,$50
2014-12-31,$-138
2014-09-30,$-21
2014-06-30,$-155
2014-03-31,$19
2013-12-31,$513
2013-09-30,$43
2013-06-30,$65
2013-03-31,$69
2012-12-31,$39
2012-09-30,$15
2012-06-30,$75
2012-03-31,$-29
2011-12-31,$-26
2011-09-30,$41
2011-06-30,$26
2011-03-31,$39
2010-12-31,"$1,134"
2010-09-30,$-140
2010-06-30,$-201
2010-03-31,$233
2009-12-31,$276
2009-09-30,$-38
2009-06-30,$-112
2009-03-31,$2
