Expros Quarterly Net Income (Millions of US $),Expros Quarterly Net Income (Millions of US $).1
2024-06-30,$15
2024-03-31,$-3
2023-12-31,$-12
2023-09-30,$-14
2023-06-30,$9
2023-03-31,$-6
2022-12-31,$13
2022-09-30,$-18
2022-06-30,$-4
2022-03-31,$-11
2021-12-31,$-91
2021-09-30,$-12
2021-06-30,$-8
2021-03-31,$-20
2020-12-31,$-159
2020-09-30,$-28
2020-06-30,$-34
2020-03-31,$-86
2019-12-31,$2
2019-09-30,$-24
2019-06-30,$-15
2019-03-31,$-28
2018-12-31,$-16
2018-09-30,$-7
2018-06-30,$-26
2018-03-31,$-42
2017-12-31,$-109
2017-09-30,$2
2017-06-30,$-26
2017-03-31,$-27
2016-12-31,$-66
2016-09-30,$-37
2016-06-30,$-31
2016-03-31,$-1
2015-12-31,$7
2015-09-30,$17
2015-06-30,$21
2015-03-31,$34
2014-12-31,$35
2014-09-30,$47
2014-06-30,$35
2014-03-31,$42
2013-12-31,$55
2013-09-30,$41
2013-06-30,$105
2013-03-31,$54
2012-12-31,$64
2012-09-30,$68
2012-06-30,$91
2012-03-31,$82
2011-12-31,
2010-12-31,
