Elbit Systems Quarterly Net Income (Millions of US $),Elbit Systems Quarterly Net Income (Millions of US $).1
2024-06-30,$78
2024-03-31,$74
2023-12-31,$30
2023-09-30,$61
2023-06-30,$62
2023-03-31,$62
2022-12-31,$85
2022-09-30,$56
2022-06-30,$81
2022-03-31,$53
2021-12-31,$8
2021-09-30,$92
2021-06-30,$102
2021-03-31,$73
2020-12-31,$68
2020-09-30,$17
2020-06-30,$89
2020-03-31,$64
2019-12-31,$52
2019-09-30,$72
2019-06-30,$54
2019-03-31,$50
2018-12-31,$1
2018-09-30,$64
2018-06-30,$92
2018-03-31,$50
2017-12-31,$69
2017-09-30,$61
2017-06-30,$63
2017-03-31,$46
2016-12-31,$67
2016-09-30,$63
2016-06-30,$54
2016-03-31,$52
2015-12-31,$63
2015-09-30,$50
2015-06-30,$45
2015-03-31,$45
2014-12-31,$44
2014-09-30,$35
2014-06-30,$44
2014-03-31,$48
2013-12-31,$43
2013-09-30,$50
2013-06-30,$50
2013-03-31,$41
2012-12-31,$57
2012-09-30,$40
2012-06-30,$38
2012-03-31,$33
2011-12-31,$-13
2011-09-30,$37
2011-06-30,$39
2011-03-31,$28
2010-12-31,$44
2010-09-30,$45
2010-06-30,$45
2010-03-31,$50
2009-12-31,$54
2009-09-30,$58
2009-06-30,$60
2009-03-31,$43
