Arcadium Lithium Quarterly Net Income (Millions of US $),Arcadium Lithium Quarterly Net Income (Millions of US $).1
2024-06-30,$86
2024-03-31,$16
2023-12-31,$38
2023-09-30,$87
2023-06-30,$90
2023-03-31,$115
2022-12-31,$83
2022-09-30,$78
2022-06-30,$60
2022-03-31,$53
2021-12-31,$8
2021-09-30,$-13
2021-06-30,$7
2021-03-31,$-1
2020-12-31,$-4
2020-09-30,$-11
2020-06-30,$-0
2020-03-31,$-2
2019-12-31,$-0
2019-09-30,$18
2019-06-30,$16
2019-03-31,$17
2018-12-31,$26
2018-09-30,$30
2018-06-30,$38
2018-03-31,$32
2017-12-31,
2016-12-31,
