CarMax Quarterly Net Income (Millions of US $),CarMax Quarterly Net Income (Millions of US $).1
2024-05-31,$152
2024-02-29,$50
2023-11-30,$82
2023-08-31,$119
2023-05-31,$228
2023-02-28,$69
2022-11-30,$38
2022-08-31,$126
2022-05-31,$252
2022-02-28,$160
2021-11-30,$269
2021-08-31,$285
2021-05-31,$437
2021-02-28,$210
2020-11-30,$235
2020-08-31,$297
2020-05-31,$5
2020-02-29,$215
2019-11-30,$173
2019-08-31,$234
2019-05-31,$267
2019-02-28,$193
2018-11-30,$190
2018-08-31,$221
2018-05-31,$239
2018-02-28,$122
2017-11-30,$149
2017-08-31,$181
2017-05-31,$212
2017-02-28,$153
2016-11-30,$137
2016-08-31,$162
2016-05-31,$175
2016-02-29,$141
2015-11-30,$128
2015-08-31,$172
2015-05-31,$182
2015-02-28,$143
2014-11-30,$130
2014-08-31,$155
2014-05-31,$170
2014-02-28,$99
2013-11-30,$106
2013-08-31,$140
2013-05-31,$147
2013-02-28,$107
2012-11-30,$95
2012-08-31,$112
2012-05-31,$121
2012-02-29,$95
2011-11-30,$82
2011-08-31,$111
2011-05-31,$125
2011-02-28,$86
2010-11-30,$82
2010-08-31,$107
2010-05-31,$101
2010-02-28,$71
2009-11-30,$74
2009-08-31,$102
2009-05-31,$28
2009-02-28,$37
